"","ACARTIA HUDSONICA","ACARTIA LONGIREMIS","AEQUOREA VICTORIA","AETIDEUS","Aglantha digitale","AGLANTHA DIGITALE","ALIENACANTHOMYSIS MACROPSIS","AMPHIPODA","ANTHOATHECATA","Anthozoa","ASCIDIACEA","AXIIDAE","BARNACLES","BIVALVIA","BRADYIDIUS SAANICHI","BRYOZOA","CALANUS MARSHALLAE","CALANUS PACIFICUS","CALLIOPIUS PACIFICUS","CANCER PRODUCTUS","Cancridae Lg","Cancridae Sm","CANDACIA COLUMBIAE","CARIDEA","CENTROPAGES ABDOMINALIS","CHAETOGNATHA","CHIRIDIUS GRACILIS","CLIONE LIMACINA","Clytia gregaria","CLYTIA GREGARIA","COPEPODA","CRANGONIDAE","CUMACEA","CYPHOCARIS CHALLENGERI","DITRICHOCORYCAEUS ANGLICUS","ECHINODERMATA","EPILABIDOCERA LONGIPEDATA","EUCALANUS BUNGII","EUPHAUSIA PACIFICA","EUPHAUSIIDAE","EUPHYSA","EUTONINA INDICANS","EVADNE","FABIA SUBQUADRATA","FISH","Forage FISH","FRITILLARIA","GALATHEIDAE","GAMMARIDEA","GASTROPODA","GLEBOCARCINUS OREGONENSIS","HARPACTICOIDA","HEMIGRAPSUS","HIPPOLYTIDAE","HYDROID","HYPERIA","HYPERIIDEA","HYPEROCHE","ISOPODA","LEPTOTHECATA","LEUCKARTIARA","LIMACINA HELICINA","LITTORINA","LOPHOPANOPEUS BELLUS","METACARCINUS GRACILIS","METACARCINUS MAGISTER","METRIDIA PACIFICA","MICROCALANUS","Mitrocoma cellularia","MONOTHULA SUBTILIS","Muggiaea atlantica","MUGGIAEA ATLANTICA","MYSIDACEA","Nanomia bijuga","Nemertea","NEOCALANUS CRISTATUS","NEOCALANUS PLUMCHRUS","NEOMYSIS","NEOTRYPAEA CALIFORNIENSIS","NOCTILUCA","OBELIA","OCTOPODA","OIKOPLEURA","OITHONA ATLANTICA","OITHONA SIMILIS","OREGONIA GRACILIS","OSTRACODA","OWENIIDAE","PACIFACANTHOMYSIS NEPHROPHTHALMA","PAGURIDAE","PANDALIDAE","PARACALANUS","PARAEUCHAETA ELONGATA","PASIPHAEA PACIFICA","PETROLISTHES","PHORONIDA","PINNIXA","PINNOTHERES","PLATYHELMINTHES","Pleurobrachia bachei","PLEUROBRACHIA BACHEI","PODON","POLYCHAETA","PROBOSCIDACTYLA FLAVICIRRATA","PSEUDOCALANUS","PSEUDOCALANUS Lg","PSEUDOCALANUS MIMUS","PSEUDOCALANUS MINUTUS","PSEUDOCALANUS MOULTONI","PSEUDOCALANUS NEWMANI","PSEUDOCALANUS Sm","PUGETTIA","RATHKEA","SARSIA","SCOLECITHRICELLA MINOR","THEMISTO PACIFICA","THYSANOESSA","THYSANOESSA RASCHII","THYSANOESSA SPINIFERA","TORTANUS","TORTANUS DISCAUDATUS","TRICONIA BOREALIS","TRICONIA MINUTA","UNKNOWN","XENACANTHOMYSIS PSEUDOMACROPSIS","Cluster"
"P402-2016-JUL",0.116349470104496,0,0,0.0760702167804328,0,0.0113291871931709,0,0,0,0,0,0,0,0.0438909053512796,0,0.0878666489181351,0,0.33454985586461,0,0,0,0,0,0,0,0.0164179383543665,0,0,0,0,0.152585142814226,0.0438909053512796,0,0.00358253458832018,0.124423159528869,0,0,0,0.0237660323971958,0,0,0,0.132013556309306,0,0.0226598288257265,0,0,0,0,0.0878666489181351,0,0,0.0453313032071193,0,0,0,0,0,0,0,0,0.0113291871931709,0.0438909053512796,0,0,0,0.124423159528869,0.38427128945151,0,0,0,0.0620910753943734,0,0,0,0,0,0,0.0895393530633918,0,0,0,0.0982696276505727,0.0438909053512796,0.277560797657747,0,0.0438909053512796,0,0,0,0.015616507545509,0.770540044003344,0,0,0,0,0,0,0,0,0,0,0.202448907154123,0,0,0,0,0,0,0,0,0,0,0,0,0.0490099365649279,0,0.0760702167804328,0,0,0,0,0,0,0,9
"P402-2018-SEP",0.0744637288614244,0.0332765664613909,0,0.115508821882008,0,0,0,0,0,0,0,0.0047051660414576,0.0881393464920452,0,0,0,0,0.115508821880409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259168395579913,0,0,0.133477695193483,0.0332765664613909,0,0,0,0.0332765664613909,0.0403033964957671,0,0,0,0,0,0,0,0,0.0999777485512824,0,0,0,0.0368569987520968,0,0,0,0,0.0332765664613909,0,0,0,0,0,0,0,0.0589268222468176,0.13347769519487,0,0,0,0,0,0,0,0,0,0,0.0130283353582477,0,0,0,0,0,0.145535634372645,0,0,0,0,0,0,1.09518214874157,0,0,0,0,0,0,0,0,0,0.26065305965808,0.145535634353518,0,0,0,0,0,0,0,0,0,0,0,0,0.0297623668910134,0,0,0,0,0,0.0470688649640313,0,0.0332765664613909,0,9
"P402-2021-SEP",0,0,0,0.0745148757040595,0.0307634660760218,0,0.00409812547914298,0,0.0221973131898753,0,0,0.00409812547914298,0.198261757297718,0.0860689899467454,0,0,0.0429946272930312,0.327464409445022,0,0,0,0,0,0,0,0.0100384568235797,0,0,0,0,0.0962578712375208,0.00961107722513962,0,0,0.0429946272930312,0,0,0,0.00409812547914298,0,0,0,0,0,0.0325980198210139,0,0,0,0,0.299105470005132,0,0,0,0.0231391759539651,0,0,0,0,0.0429946272930312,0,0,0,0.0429946272930312,0,0,0,0.0860689899339502,0.113964582392992,0,0,0.131948387925824,0,0,0,0,0,0.00709820128354052,0,0.0356458277962601,0,0,0,0.149447562931543,0.0608223474651088,0.249489444398488,0,0.0156952261517271,0,0,0,0,0.780501077608145,0.0170626370865084,0,0,0,0,0,0,0,0,0.249489444381541,0.225237442975595,0,0.0745148757040595,0,0,0,0,0,0,0,0,0,0,0.0124642498977133,0,0,0,0,0,0,0,0,0,9
"P402-2016-SEP",0.0720900432614368,0,0,0.0853277316817111,0,0.0322173029947854,0,0.0322173029947854,0,0,0,0,0.0720900432614368,0.0558213384074798,0,0.0322173029947854,0,0.161327475360984,0,0,0,0,0,0,0,0.0105205010116068,0,0,0,0,0,0.00831712879459727,0,0,0.174347406490646,0,0,0,0.0116143655085918,0,0.111817572409037,0,0.0720900432614368,0,0.0322173029947854,0,0,0,0,0.0322173029947854,0,0,0,0.0334816669712703,0,0,0,0,0,0,0,0.0455700357062508,0,0,0,0,0.0919943334917222,0.23211648722358,0,0,0,0.102719811881574,0,0,0,0,0,0,0.00948301865526667,0,0,0,0.0322173029947854,0.0322173029947854,0.227437861201188,0,0.0322173029947854,0,0,0,0,1.02142086559406,0,0,0,0,0,0,0,0,0,0.125081395707729,0.148154084118912,0,0.0455700357062508,0,0,0,0.0322173029947854,0,0,0,0,0,0,0.0130185834016115,0.0322173029947854,0,0,0,0,0,0,0.0455700357062508,0,9
"P12-2015-SEP",0,0,0,0.0640094821422802,0,0,0,0.0640094821422802,0,0,0,0,0.0784221205636748,0.111019903269268,0,0.0640094821422802,0,0.124465274300055,0.00341912148098107,0,0,0,0.00341912148098107,0,0,0.0207052477377925,0.0452460739434061,0,0,0,0.0784221205636748,0,0,0.0290833312562892,0.157331801687667,0,0,0,0.0340263283764127,0.150581475819639,0,0,0,0,0.00341912148098107,0,0,0,0,0.119956498477253,0,0.0452460739434061,0,0,0,0,0,0,0,0,0,0.0457606075609964,0,0,0,0,0.157331801687667,0.311796603411996,0,0,0,0.0640094821422802,0,0,0,0,0,0,0,0,0,0,0.170056007487658,0.111019903269268,0.513616682168691,0,0,0,0,0,0.00341912148098107,0.714783877403907,0.0197415508648841,0.00592211519985229,0,0,0,0,0,0,0,0.101312004349967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408980668741843,0.090585109332872,0,0,0,0,0,0.143524073174082,0,0,9
"P38-2015-SEP",0,0,0,0.0821709379099419,0,0.0580708954805522,0,0.130144579911721,0,0,0,0,0.116338783640093,0.100695301319728,0,0.154164751335494,0,0.50331817113199,0,0,0,0,0,0,0,0.0839365323758563,0,0,0,0,0.0821709379099419,0.0211941638733574,0,0.0232173909891185,0.269204562688376,0,0,0,0.0582643621944538,0,0,0,0,0,0,0,0,0,0,0.175006754346354,0,0,0,0.0149859759712386,0,0,0,0,0,0,0,0.00473882205066645,0,0,0,0,0,0.275703133386573,0,0,0,0.116338783640093,0,0,0,0,0,0,0.0211941638733574,0.0580708954805522,0,0,0,0,0.255762235864134,0,0.184579408136842,0,0.0157174830299124,0,0,0.636911373639726,0,0,0,0,0,0,0,0,0,0,0.100695301319728,0,0,0,0,0,0,0,0,0,0,0,0,0.0217176366896151,0,0.0821709379099419,0,0,0,0,0.116338783640093,0,0,9
"P12-2018-APR",0,0,0.00595301378519226,0.224624246934564,0,0.0145822769561852,0,0.048625025468308,0.0687933234554487,0,0,0.048625025468308,0.0973654978104562,0,0,0.274043245972694,0.0687933234554487,0.399379702419646,0,0,0,0.048625025468308,0,0,0,0.0489886455998425,0.0217389168371195,0.0336815005498103,0,0.0133116580945383,0.146339355376828,0,0,0.0103110441967114,0.224624246937234,0,0,0,0.23534814657257,0.0687933234554487,0,0.00841888262731856,0.0687933234554487,0,0.0365434533293476,0,0,0.048625025468308,0,0.108901146206884,0.0217389168371195,0,0,0.0217389168371195,0,0,0,0,0.0336815005498103,0.0687933234554487,0.00841888262731856,0.146339353520543,0,0.0238141654728282,0,0.0307458934374855,0.44063594100676,0.264835597568881,0,0,0,0,0,0.0336815005670323,0,0,0,0,0,0.048625025468308,0.0238141654728282,0,0.230004312475222,0.250452392731729,0.201773457039034,0,0.11934266230287,0,0,0.048625025468308,0.0103110441967114,0.219121326897097,0.0103110441967114,0,0,0.0238141654728282,0.0217389168371195,0,0,0,0.038589287791354,0,0.169181570368217,0.00841888262731856,0,0,0,0,0,0,0,0,0,0,0.0687933234554487,0,0,0.0238141654728282,0,0.048625025468308,0,0,0,0,0,8
"P12-2019-JUL",0,0,0,0.164552024444106,0,0.0541067266161403,0,0.103789046846699,0,0,0,0,0.0634861422123641,0.121785888816349,0,0.0733239338148016,0.0518245993956662,0.262068824810215,0.00668758236811522,0,0,0,0.00668758236811522,0.00668758236811522,0,0.0527611062574441,0,0.00706571168580258,0,0,0.0366373199629905,0,0,0.0342587241311143,0.17266245487414,0,0,0,0.125574989965377,0.0366373199629905,0,0,0,0,0.00499619186073117,0,0,0,0,0.208717717399279,0,0,0,0.0115834051333125,0,0,0,0,0.0327679483644748,0,0,0.1608233489209,0,0,0.0366373199629905,0,0.418348575321557,0.236746198560917,0,0,0,0,0,0,0,0,0,0,0.0366373199629905,0,0,0,0,0.267308382261105,0.439615949985591,0,0.0267533213895782,0,0,0,0,0.504273310235389,0.0250250673920409,0,0,0,0,0,0,0,0,0,0,0,0.0733239338148016,0,0,0,0,0.121785888816349,0.0518245993956662,0,0,0,0.0366373199629905,0.0977194675078601,0,0,0,0,0,0,0.0366373199629905,0,0,8
"P402-2019-JUL",0,0,0,0.150044255477042,0,0.0190435658440299,0,0.0748107073660813,0,0,0,0,0.0916669124949464,0.0528744628383872,0,0,0,0.379039450768996,0,0,0,0,0,0,0,0.0452733543493344,0,0,0.0136461907830443,0,0,0.106176836017843,0,0.00766833433811908,0.199057932984611,0,0,0,0.00766833433811908,0.0528744628383872,0.0416613589124282,0,0,0,0.257391123080603,0.0534286619351215,0.0528744628383872,0,0,0.25625422521451,0,0,0.120029123959278,0.127119850802382,0,0,0,0,0.0748107073660813,0,0.0472879462635169,0.159221384616047,0,0.0136461907830443,0.0472879462570162,0,0.213006412197473,0.105897474983859,0,0,0,0,0,0,0,0,0,0,0.288127104342008,0,0,0,0.303606587397692,0.267425312784182,0.140287206427285,0,0.0136461907830443,0,0,0.0562926656838711,0,0.429196124375596,0,0,0,0,0.0546102087721519,0,0,0,0,0.184115626767904,0.0748107073660813,0.053977192667011,0.0528744628383872,0,0,0,0,0.118452618656251,0,0,0,0,0,0.0776500723721145,0,0,0,0,0,0,0,0.0748107073660813,0,8
"P12-2016-JUL",0.0824212862981083,0,0,0.175544261510152,0,0,0,0.0824212862927181,0,0,0,0,0,0.0824212862927181,0,0.154637144828067,0,0.684613129867681,0,0.0582476182019309,0,0,0,0,0,0.0237682842210493,0,0,0,0,0.0582476182019309,0,0,0.0377363847058416,0.227419799215691,0,0,0,0.034935918334655,0.116694040233435,0,0,0,0,0.0047532272071211,0,0,0.0146508990477907,0,0.0824212862927181,0,0,0,0,0,0,0,0,0.0542214884257046,0,0,0.0222963750067709,0.0582476182019309,0,0,0,0.28294820334972,0.346328969234289,0,0,0,0,0,0,0,0,0,0,0.0582476182019309,0,0,0,0.0824212862927181,0.154637144825161,0.263378465945162,0,0.154637144828067,0,0,0,0,0.313135493896182,0.0058215015291573,0.0075155544973835,0,0,0,0,0,0,0,0,0.0824212862927181,0,0,0,0,0,0,0,0,0,0,0,0,0.116986746438619,0,0.0582476182019309,0,0,0,0,0,0,0,8
