,code,Station.x,Year.x,Month.x,temp_Deep,temp_Surface,Oxygen_Deep,Oxygen_Surface,Salinity_Deep,Salinity_Surface,stationmonth,Cluster
120,P28-2019-SEP,P28,2019,SEP,12.52506,14.318,5.534143798,6.821220398,30.95602,30.37315,P28-SEP,1
133,P38-2019-SEP,P38,2019,SEP,13.8232,15.17875,5.551044007,7.261398746,30.42496667,30.0138,P38-SEP,1
154,P402-2019-SEP,P402,2019,SEP,10.1212,14.54665,1.140099723,6.400204137,30.17238333,28.2977,P402-SEP,1
163,P8-2019-SEP,P8,2019,SEP,11.70225,13.70655,5.320543649,6.53947249,31.374675,30.49665,P8-SEP,1
100,P12-2020-JUL,P12,2020,JUL,9.464166667,17.562,2.956087558,9.699848787,30.15043333,26.5727,P12-JUL,1
111,P22-2020-JUL,P22,2020,JUL,7.909266667,10.54506667,3.769843628,6.030548807,33.0496,30.41906667,P22-JUL,1
121,P28-2020-JUL,P28,2020,JUL,10.73974,13.2597,6.247078934,8.633997912,30.0025,28.77915,P28-JUL,1
134,P38-2020-JUL,P38,2020,JUL,11.69663333,14.08085,6.050272508,11.57259821,29.39616667,29.27655,P38-JUL,1
144,P4-2020-JUL,P4,2020,JUL,9.82805,12.642,5.453227696,9.788757106,29.4086,24.5277,P4-JUL,1
155,P402-2020-JUL,P402,2020,JUL,10.35842,18.4756,3.234583841,10.14044363,29.70114,26.2663,P402-JUL,1
164,P8-2020-JUL,P8,2020,JUL,10.864,12.5357,6.023923777,7.321884759,30.363875,29.7125,P8-JUL,1
101,P12-2020-SEP,P12,2020,SEP,9.629466667,17.25145,2.207981226,8.750239601,30.11423333,27.51435,P12-SEP,1
122,P28-2020-SEP,P28,2020,SEP,11.9395,13.49935,5.847989804,7.650125595,30.69968,30.0773,P28-SEP,1
135,P38-2020-SEP,P38,2020,SEP,13.33863333,14.86415,5.744659996,9.051257276,30.0623,29.71355,P38-SEP,1
156,P402-2020-SEP,P402,2020,SEP,10.0514,17.47375,2.009412745,8.509851908,29.87566,26.58025,P402-SEP,1
102,P12-2021-APR,P12,2021,APR,10.10843333,12.65805,3.2175,10.78,30.1561,26.554,P12-APR,1
136,P38-2021-APR,P38,2021,APR,8.844733333,11.3358,8.845,17.34,29.0285,28.73595,P38-APR,1
165,P8-2021-APR,P8,2021,APR,8.491275,10.33705,7.944580222,11.975,30.507375,29.601,P8-APR,1
123,P28-2021-JUL,P28,2021,JUL,10.72816667,14.5827,6.063933822,8.263809135,30.18758333,27.5862,P28-JUL,1
145,P4-2021-JUL,P4,2021,JUL,9.4062,14.93545,5.529373864,12.31498449,29.61395,22.84375,P4-JUL,1
146,P4-2021-SEP,P4,2021,SEP,11.4742,13.9959,4.008237841,13.75517857,30.21295,27.2143,P4-SEP,1
112,P22-2022-APR,P22,2022,APR,7.9658,8.65565,6.152235613,8.089105033,31.85386667,30.1414,P22-APR,1
124,P28-2022-APR,P28,2022,APR,8.4695,8.8239,7.643492089,8.16638628,29.8042,29.05585,P28-APR,1
1,P12-2014-JUL,P12,2014,JUL,8.5025,20.438,3.7385,11.22,29.879,25.798,P12-JUL,2
14,P22-2014-JUL,P22,2014,JUL,9.101,11.67666667,5.10475,7.5525,31.9275,30.076,P22-JUL,2
39,P38-2014-JUL,P38,2014,JUL,12.2505,15.558,7.198,9.692,29.174,28.828,P38-JUL,2
50,P4-2014-JUL,P4,2014,JUL,9.158,14.2255,5.106,13.79,29.378,22.086,P4-JUL,2
64,P402-2014-JUL,P402,2014,JUL,9.201666667,18.333,3.813,12.431,29.26733333,26.43,P402-JUL,2
78,P8-2014-JUL,P8,2014,JUL,11.231,13.1925,7.107,9.821,30.15033333,29.6285,P8-JUL,2
2,P12-2014-SEP,P12,2014,SEP,9.001,14.7765,2.0875,10.728,30.0445,24.979,P12-SEP,2
27,P28-2014-SEP,P28,2014,SEP,12.08375,13.1075,5.6855,7.629,30.678,30.0695,P28-SEP,2
40,P38-2014-SEP,P38,2014,SEP,13.109,14.701,5.514,8.656,30.0755,29.5725,P38-SEP,2
51,P4-2014-SEP,P4,2014,SEP,11.78,14.2195,3.8615,8.2865,30.321,25.644,P4-SEP,2
65,P402-2014-SEP,P402,2014,SEP,9.158333333,15.429,1.952,10.55,29.79633333,24.0595,P402-SEP,2
79,P8-2014-SEP,P8,2014,SEP,11.343,12.339,5.573333333,6.208,31.14566667,30.15,P8-SEP,2
41,P38-2015-APR,P38,2015,APR,9.8202,11.8398,6.844666667,14.876,31.7742,31.2914,P38-APR,2
80,P8-2015-APR,P8,2015,APR,9.748733333,10.2272,8.423,10.558,29.59113333,29.0067,P8-APR,2
15,P22-2015-JUL,P22,2015,JUL,8.2917,11.7437,4.398,7.7605,32.8738,30.3314,P22-JUL,2
28,P28-2015-JUL,P28,2015,JUL,12.037475,13.9787,6.79125,8.915,30.1889,29.5669,P28-JUL,2
81,P8-2015-SEP,P8,2015,SEP,11.7981,13.1689,6.293,7.141,31.28173333,30.4455,P8-SEP,2
3,P12-2016-APR,P12,2016,APR,11.32235,12.1883,2.86125,12.1565,30.0258,23.9062,P12-APR,2
16,P22-2016-APR,P22,2016,APR,9.0792,9.7557,6.685,8.728,31.7285,29.3558,P22-APR,2
29,P28-2016-APR,P28,2016,APR,9.42362,10.3891,8.0796,11.192,29.0279,27.0845,P28-APR,2
42,P38-2016-APR,P38,2016,APR,9.56195,13.4933,8.04875,13.0455,28.0421,27.255,P38-APR,2
