,CTDTMP_DEG_C_ITS90_Deep,CTDTMP_DEG_C_ITS90_Surface,CTDSAL_PSS78_Deep,CTDSAL_PSS78_Surface,OXYGEN_MG_L_1_Deep,OXYGEN_MG_L_1_Surface,Cluster,,5,,
PP22-2018-SEP,-0.659240394,-0.278499974,-0.315083747,-2.517700404,0.256387377,-0.061644525,4,,,,
PP22-2020-SEP,0.45943489,0.716141749,-1.159807668,-1.384955741,-0.034922492,0.456624107,4,,,,
PP22-2022-SEP,-0.9824725,-0.793621804,-1.048970445,-1.514938058,0.640350476,0.63369306,4,,,,
PP38-2016-APR,-0.579235587,-0.229652313,-0.299462923,-0.811170424,0.877488305,1.717477409,4,,,,
PP38-2017-APR,-1.15872118,0.975264505,-0.774862294,-0.377004927,-0.621088366,1.432866397,4,,,,
PP38-2020-JUL,0.108804868,-0.563631173,-0.841539957,-2.091380627,0.159758215,0.496808107,4,,,,
PP38-2021-JUL,-0.410363696,-0.894838972,-0.743568498,-1.154720906,0.470799306,-0.085412645,4,,,,
PP38-2022-APR,-1.031613305,-0.818634787,-0.967571202,-1.294437262,0.298787856,2.914789369,4,,,,
PP4-2016-APR,-0.406337298,0.243572375,-0.705426211,-1.606524749,-0.127404986,1.360021885,4,,,,
PP4-2016-SEP,-0.88413659,-0.630895387,-1.350135482,-1.762965753,0.080410245,0.447531949,4,,,,
PP4-2017-JUL,0.058040666,0.259934832,-0.681836967,-0.587711652,0.130358121,1.802304787,4,,,,
PP402-2016-SEP,0.369446185,0.507231394,-0.573132654,-1.233551496,-0.957273951,1.06414186,4,,,,
PP402-2018-SEP,-0.83282288,-0.261089991,-0.905888817,-0.243682529,-1.897495826,1.388275848,4,,,,
PP402-2022-APR,-0.44714241,1.297193285,-0.818393119,-1.776007649,-0.78865818,0.878428135,4,,,,
PP402-2022-JUL,0.961731828,0.597798856,-0.330208002,-2.267039387,-0.857816993,1.641180934,4,,,,
PP8-2015-APR,0.586604478,-0.01992909,-0.494298933,-1.597756751,-0.267661796,1.198325128,4,,,,
PP8-2015-JUL,-0.29979202,-0.217197038,-0.317555677,-0.411271024,-0.685068052,0.222946632,4,,,,
PP8-2017-APR,0.501982879,-0.405897794,-0.223344514,-0.424280176,-0.076651743,0.97587682,4,,,,
PP8-2018-APR,0.264701557,1.053306459,-0.459748351,-1.688310656,-0.239006964,2.523795283,4,,,,
PP8-2019-APR,-0.030523602,0.236641631,-0.767978468,-0.999080653,-0.302853491,2.891749744,4,,,,
PP8-2020-JUL,-0.447666789,0.07503323,-1.102681143,-1.092848584,-0.358786372,2.436930624,4,,,,
PP12-2015-JUL,-0.420575448,0.551407356,-0.885174017,0.53967753,1.312522387,2.569002914,3,,,,
PP12-2017-SEP,-0.638338549,-0.03914231,-0.971581142,0.433949399,0.856761708,1.033179308,3,,,,
PP12-2019-SEP,0.414005369,0.214563405,-0.70457165,0.149148053,1.027819606,0.241485583,3,,,,
PP12-2020-SEP,0.332317546,1.968646098,-1.700467048,0.150922103,0.899703355,0.802454256,3,,,,
PP22-2015-SEP,-0.277035226,0.851174336,-0.61185205,0.539121484,1.134037393,0.323883249,3,,,,
PP22-2017-APR,0.607880647,0.860024535,1.36469043,1.219695025,0.407256514,1.558052919,3,,,,
PP28-2016-JUL,0.278150453,-0.24631167,0.004153483,0.417912412,0.733309214,0.631401104,3,,,,
PP28-2016-SEP,1.391647019,0.102710094,-0.59566013,0.795746435,1.320272311,1.096859511,3,,,,
PP28-2019-JUL,0.461312111,-0.350688311,-0.524321689,0.304017959,0.881202336,1.005814721,3,,,,
PP38-2015-SEP,1.744233212,0.357713708,-0.800544132,0.661432816,0.935533667,1.243360617,3,,,,
PP38-2016-SEP,1.529491957,0.059824622,-0.928002147,0.575624648,1.284934719,-0.08421269,3,,,,
PP38-2019-SEP,0.600262335,0.105481156,-0.173621913,0.263179626,0.999312476,0.597093952,3,,,,
PP38-2021-SEP,2.02994961,-0.241033458,-0.644550741,0.749545093,0.972496425,-0.508485264,3,,,,
PP38-2022-SEP,1.067561412,-0.425968808,-0.756599653,0.753676597,0.879453274,0.942405514,3,,,,
PP4-2015-SEP,0.657658252,-0.256868093,0.323559463,0.820813544,0.924900318,0.762081786,3,,,,
PP4-2016-JUL,1.935368719,-0.435799478,-0.674417769,0.667749251,0.877319847,-0.113568364,3,,,,
PP4-2018-SEP,1.141457667,-0.147576118,0.359704273,0.958225792,0.957048917,1.561366707,3,,,,
PP4-2019-JUL,1.756493163,0.634849181,-0.372836607,0.653489849,0.922079419,-0.285867217,3,,,,
PP4-2019-SEP,1.511673898,0.514407809,-0.583254514,0.556762974,1.01938982,1.049107354,3,,,,
