x	MP_1804_P22_v_BS20	MP_1804_P4_v_A_KAsH	MP_1804_P4_v_BS20	MP_1804_P8_v_BS20	MP_1804_P28_v_BS20	MP_1804_P402_v_BS20	MP_1804_P12_v_BS20	MP_1809_P4_v_BSsF	MP_1809_P4_v_BS20	MP_1809_P8_o_BSsF	MP_1809_P8_v_BS20	MP_1809_P28_v_BS20	MP_1809_P38_o_BSsF	MP_1809_P38_v_BSsF	MP_1809_P38_v_BS20	MP_1809_P402_v_BSsF	MP_1809_P402_v_BS20	MP_1809_P12_v_BSsF	MP_1809_P12_v_BS20
ASV_229	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_231	98	1479	1656	0	0	35	0	14	153	0	0	0	0	0	0	0	0	0	0
ASV_242	0	0	0	0	0	202	369	0	0	5	4919	0	0	0	0	0	0	661	455
ASV_251	948	317	1007	1639	290	52	89	0	0	4071	5684	1127	34	0	0	303	17	1423	0
ASV_269	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	5	0	0	0	1555	6978	0	891	6916	0	0	78	0
ASV_271	0	0	0	0	0	0	0	37	76	0	0	0	83	59	173	0	0	0	0
ASV_274	0	0	0	0	0	0	0	0	0	0	150	161	0	0	0	0	0	173	0
ASV_276	0	0	0	0	0	5	0	0	0	0	0	0	0	31	381	0	0	0	0
ASV_278	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	7003	8382	0	0	0	183	9	0	0	0	0	0
ASV_281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946
ASV_284	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0
ASV_289	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0
ASV_29	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	11836	2991	0	0
ASV_293	0	0	0	135	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_295	0	0	0	378	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_298	0	107	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_301	2653	0	0	58	89	0	0	0	0	265	0	398	0	0	0	0	0	11	0
ASV_307	1	0	0	108	66	0	16	141	85	0	0	0	0	17	221	90	41	11	0
ASV_308	0	0	0	0	0	576	6979	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0
ASV_316	0	0	0	0	0	0	0	25	310	0	0	0	0	0	0	0	0	0	0
ASV_318	3	0	17	0	0	0	4	0	5	256	0	0	0	0	0	0	30	6	11
ASV_319	0	0	0	0	0	0	2	53	12	3	0	0	10	0	0	253	0	0	0
ASV_32	13480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0
ASV_323	21	0	0	0	0	0	0	0	0	8	6	58	194	8	36	28	0	109	10
ASV_327	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0
ASV_338	0	0	0	0	0	0	0	0	0	0	0	0	0	42	247	0	0	0	0
ASV_343	0	0	0	0	0	0	0	0	0	115	0	0	93	3	0	0	0	70	0
ASV_350	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0
ASV_356	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_362	0	0	0	0	0	0	3	0	0	0	0	0	0	26	219	0	0	0	0
ASV_369	0	0	0	0	0	0	0	0	0	185	20	81	0	0	0	0	0	129	0
ASV_371	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_380	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	14	47	105	0
ASV_387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0
ASV_39	2	326	1675	363	764	0	228	0	0	0	1703	7423	0	0	0	0	0	185	0
ASV_394	3126	0	0	550	2	0	10	0	0	0	0	0	0	0	0	0	0	0	1
ASV_397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0
ASV_399	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0
ASV_408	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_411	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	0	0	0	0	21	0	0	187	4	0	0	0	0	0	25	0	0	0	0
ASV_418	9	0	0	2	0	0	2	10	0	8	0	4	230	8	30	4	0	0	13
ASV_419	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_421	0	0	0	0	0	0	0	0	11	0	174	0	0	0	0	0	0	0	0
ASV_422	173	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_424	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_425	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0
ASV_428	0	0	0	0	0	168	0	71	32	0	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	189	0	0
ASV_440	0	0	3	0	0	4	0	157	38	0	0	0	11	0	0	0	0	0	0
ASV_443	0	0	0	0	0	2	10	0	0	0	0	134	0	0	0	0	0	15	0
ASV_448	125	0	0	3	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	0	0	3	0	0	0	0	1464	5102	0	0	0	0	0	0	0	0	0	1
ASV_470	119	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_471	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
ASV_478	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0
ASV_482	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_491	0	0	0	0	0	0	0	0	0	176	150	0	0	0	0	0	0	65	0
ASV_50	0	0	0	0	0	1	0	0	0	0	0	0	1	7	36	5170	1305	0	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0
ASV_505	0	0	0	0	0	0	0	66	0	23	0	0	1	0	0	14	0	0	0
ASV_510	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_511	141	0	0	0	39	0	0	0	0	0	0	45	7	0	13	0	0	0	0
ASV_516	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
ASV_521	0	0	0	0	0	276	170	1211	2553	0	141	0	0	0	0	0	0	130	2
ASV_523	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	38	0
ASV_525	0	0	0	0	0	0	0	0	0	0	0	0	88	6	0	0	0	0	0
ASV_527	34	3	0	0	2	0	6	0	0	0	0	5	0	2	0	2	0	0	96
ASV_53	6106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	0	0	0	0	0	0	0	0	70	0	7	4	0	0	0	0	10	0
ASV_536	178	0	0	3	2	0	0	0	0	0	0	0	17	0	9	0	0	0	20
ASV_537	51	0	0	0	121	0	39	0	0	15	0	21	25	4	0	0	0	10	0
ASV_546	22	0	0	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_550	0	0	0	0	0	0	0	0	0	0	8	0	70	8	5	0	0	8	0
ASV_553	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0
ASV_559	0	0	0	0	63	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_561	0	0	0	0	0	0	0	0	0	3	0	6	56	1	14	0	0	2	0
ASV_567	34	0	0	2	8	0	0	0	0	8	0	0	22	0	0	0	0	1	0
