CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LONGITUDE_DEC,LATITUDE_DEC,STATION_NO,NISKIN_NO,CTDPRS_DBAR,CTDTMP_DEG_C_ITS90,CTDTMP_FLAG_W,CTDSAL_PSS78,CTDSAL_FLAG_W,SIGMATHETA_KG_M3,CTDOXY_UMOL_KG_ADJ,CTDOXY_MG_L,CTDOXY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_FLAG_W,TA_UMOL_KG,DIC_UMOL_KG,TA_FLAG_W,DIC_FLAG_W,NITRATE_UMOL_KG,NITRATE_UMOL_L,NITRITE_UMOL_KG,NITRITE_UMOL_L,AMMONIUM_UMOL_KG,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_KG,PHOSPHATE_UMOL_L,SILICATE_UMOL_KG,SILICATE_UMOL_L,NUTRIENTS_FLAG_W
CAB1019,7/14/14,18:49:24,7/14/14,11:49:24,-122.4537,47.6995,28,1,191.052,10.698,2,30.195,2,23.088,190,5.893,2,184.3,6.034,-999,-999,2,2087.5,2024.6,2,2,20.36,20.78,0.31,0.32,2.98,3.04,2.19,2.23,47.33,48.31,2
CAB1019,7/14/14,18:51:59,7/14/14,11:51:59,-122.4537,47.6995,28,2,151.496,10.712,2,30.15,2,23.051,192.4,5.972,2,181.1,5.927,-999,-999,2,2082.8,2020.5,2,2,20.37,20.78,0.31,0.32,3.05,3.11,2.15,2.19,45.73,46.67,2
CAB1019,7/14/14,18:54:26,7/14/14,11:54:26,-122.4537,47.6995,28,3,121.756,10.796,2,29.944,2,22.876,198.6,6.171,2,195.7,6.405,-999,-999,2,2067.6,2004.7,2,2,20.36,20.77,0.33,0.33,2.18,2.22,2.08,2.12,43.48,44.37,2
CAB1019,7/14/14,18:57:27,7/14/14,11:57:27,-122.4537,47.6995,28,4,81.403,10.905,2,29.817,2,22.76,202.3,6.289,2,199.7,6.535,-999,-999,2,2064.1,1998.4,2,2,20.1,20.51,0.35,0.36,2.13,2.17,2.07,2.12,43.19,44.06,2
CAB1019,7/14/14,18:59:11,7/14/14,11:59:11,-122.4537,47.6995,28,5,51.53,11.241,2,29.524,2,22.474,213.7,6.656,2,216.5,7.083,-999,-999,2,2050.6,1978.8,2,2,19.18,19.56,0.38,0.39,2.22,2.26,2.03,2.07,42.25,43.09,2
CAB1019,7/14/14,19:00:46,7/14/14,12:00:46,-122.4537,47.6995,28,6,31.719,11.638,2,29.363,2,22.28,226.1,7.054,2,219.2,7.171,-999,-999,2,2049.8,1966.7,2,3,18.09,18.45,0.36,0.37,2.59,2.64,1.98,2.02,41.19,42.01,2
CAB1019,7/14/14,19:01:55,7/14/14,12:01:55,-122.4537,47.6995,28,7,20.548,12.198,2,29.221,2,22.07,240,7.502,2,231.6,7.576,-999,-999,2,2039.6,1945.2,2,2,16.5,16.82,0.32,0.33,2.6,2.66,1.85,1.88,39.37,40.15,2
CAB1019,7/14/14,19:02:56,7/14/14,12:02:56,-122.4537,47.6995,28,8,11.609,13.211,2,28.861,2,21.603,281.2,8.83,2,270.2,8.833,-999,-999,2,2021,1887.1,2,2,12.19,12.43,0.26,0.27,1.64,1.67,1.38,1.41,31.04,31.65,2
CAB1019,7/14/14,19:03:48,7/14/14,12:03:48,-122.4537,47.6995,28,9,6.582,14.36,2,28.492,2,21.093,332.2,10.47,2,334.7,10.935,-999,-999,2,2007.7,1825.2,2,2,4.19,4.27,0.2,0.2,0.51,0.52,0.89,0.91,21.29,21.7,2
CAB1019,7/14/14,19:04:31,7/14/14,12:04:31,-122.4537,47.6995,28,10,2.586,14.63,2,28.431,2,20.991,336.5,10.609,2,336.2,10.984,-999,-999,2,1982.6,1810.2,2,2,3.66,3.73,0.2,0.2,0.4,0.41,0.78,0.79,19.79,20.17,2
CAB1019,7/14/14,20:15:30,7/14/14,13:15:30,-122.4543,47.8143,27,1,185.22,10.732,2,30.145,2,23.044,193.2,5.998,2,205.3,6.721,-999,-999,2,2085.2,2020.1,2,2,20.34,20.76,0.32,0.32,2.68,2.74,2.17,2.22,46.42,47.37,2
CAB1019,7/14/14,20:17:40,7/14/14,13:17:40,-122.4543,47.8143,27,2,151.76,10.776,2,30.072,2,22.98,196.8,6.114,2,193.3,6.329,-999,-999,2,2079,2013.4,2,2,20.33,20.74,0.31,0.32,2.35,2.4,2.11,2.16,44.82,45.74,2
CAB1019,7/14/14,20:20:24,7/14/14,13:20:24,-122.4543,47.8143,27,3,111.632,11.082,2,29.926,2,22.814,207.9,6.471,2,205.4,6.721,-999,-999,2,2073.9,1995.8,2,2,19.18,19.57,0.31,0.32,2.35,2.4,1.99,2.03,42.68,43.55,2
CAB1019,7/14/14,20:23:08,7/14/14,13:23:08,-122.4543,47.8143,27,4,81.458,11.228,2,29.872,2,22.747,214.1,6.671,2,212.2,6.945,-999,-999,2,2069.9,1986,2,2,18.51,18.89,0.31,0.32,2.35,2.4,1.95,1.99,40.86,41.69,2
CAB1019,7/14/14,20:25:18,7/14/14,13:25:18,-122.4543,47.8143,27,5,51.776,11.376,2,29.783,2,22.652,220.4,6.875,2,216.2,7.074,-999,-999,2,2064.2,1977.3,2,2,18.01,18.37,0.31,0.31,2.19,2.23,1.88,1.92,40.02,40.83,2
CAB1019,7/14/14,20:26:53,7/14/14,13:26:53,-122.4543,47.8143,27,6,31.341,11.427,2,29.746,2,22.614,222.9,6.953,2,208.6,6.825,-999,-999,2,2064.1,1972.7,2,2,17.66,18.02,0.31,0.31,2.04,2.08,1.83,1.87,39.51,40.31,2
CAB1019,7/14/14,20:28:02,7/14/14,13:28:02,-122.4543,47.8143,27,7,21.71,11.506,2,29.657,2,22.531,225.8,7.046,2,221.4,7.243,-999,-999,2,2056.5,1966.2,2,2,17.59,17.95,0.31,0.32,2.08,2.12,1.84,1.87,39.54,40.33,2
CAB1019,7/14/14,20:29:11,7/14/14,13:29:11,-122.4543,47.8143,27,8,11.587,11.77,2,29.446,2,22.322,232.1,7.248,2,229.8,7.518,-999,-999,2,2043.7,1947.2,2,2,16.62,16.95,0.32,0.32,2.04,2.08,1.75,1.79,36.64,37.37,2
CAB1019,7/14/14,20:30:29,7/14/14,13:30:29,-122.4543,47.8143,27,9,6.556,12.439,2,29.173,2,21.988,254.5,7.969,2,253.7,8.298,-999,-999,2,2031.9,1914.2,2,2,14.79,15.08,0.31,0.31,1.8,1.84,1.6,1.63,34.07,34.74,2
CAB1019,7/14/14,20:31:21,7/14/14,13:31:21,-122.4543,47.8143,27,10,2.641,13.69,2,28.712,2,21.395,290.8,9.137,2,292.7,9.567,-999,-999,2,1999,1852.4,2,2,7.3,7.45,0.23,0.24,1.18,1.2,1.18,1.2,25.09,25.58,2
CAB1019,7/14/14,21:27:56,7/14/14,14:27:56,-122.3685,47.8805,5,1,189.004,10.648,3,29.439,3,22.509,185.9,5.758,2,188.3,6.16,-999,-999,2,2086.6,2022.9,2,2,20.72,21.14,0.3,0.3,2.19,2.23,2.15,2.19,47.78,48.74,2
CAB1019,7/14/14,21:30:32,7/14/14,14:30:32,-122.3685,47.8805,5,2,151.359,10.571,3,30,3,22.958,193.8,6.016,2,190.5,6.237,-999,-999,2,2073.3,2012.3,2,2,21.42,21.86,0.31,0.31,0.97,0.99,2.11,2.15,47.35,48.32,2
CAB1019,7/14/14,21:32:41,7/14/14,14:32:41,-122.3685,47.8805,5,3,107.155,10.456,2,29.804,2,22.824,193.8,6.015,2,191.4,6.263,-999,-999,2,2057.4,2006.8,2,2,22.23,22.68,0.27,0.27,0.29,0.29,2.14,2.19,47.82,48.79,2
CAB1019,7/14/14,21:34:42,7/14/14,14:34:42,-122.3685,47.8805,5,4,80.079,10.087,2,29.452,2,22.61,198.2,6.155,2,195.8,6.406,-999,-999,2,2043.7,1996.9,2,2,23.48,23.95,0.18,0.18,0,0,2.23,2.27,51.54,52.58,2
CAB1019,7/14/14,21:36:43,7/14/14,14:36:43,-122.3685,47.8805,5,5,51.417,11.1,2,29.338,2,22.354,218.9,6.824,2,216,7.067,-999,-999,2,2043.4,1965.9,2,2,19.58,19.97,0.34,0.35,1.35,1.38,1.98,2.02,43.44,44.31,2
CAB1019,7/14/14,21:38:36,7/14/14,14:38:36,-122.3685,47.8805,5,6,31.244,11.624,2,29.267,2,22.208,231,7.213,2,229.3,7.5,-999,-999,2,2042.4,1948.7,2,2,17.44,17.78,0.36,0.37,2.22,2.26,1.86,1.9,39.46,40.24,2
CAB1019,7/14/14,21:39:45,7/14/14,14:39:45,-122.3685,47.8805,5,7,21.336,12.216,2,29.11,2,21.981,248.3,7.77,2,269.5,8.813,-999,-999,2,2035.2,1922.5,2,2,15.53,15.84,0.3,0.31,2.21,2.25,1.68,1.71,35.8,36.51,2
CAB1019,7/14/14,21:40:54,7/14/14,14:40:54,-122.3685,47.8805,5,8,11.418,13.146,2,28.485,2,21.325,296,9.303,2,291.8,9.536,-999,-999,2,1999.9,1850.7,2,2,9.82,10.01,0.24,0.25,1.22,1.24,1.25,1.28,27.27,27.8,2
CAB1019,7/14/14,21:42:03,7/14/14,14:42:03,-122.3685,47.8805,5,9,6.403,14.864,2,26.251,2,19.268,363.5,11.458,2,363.9,11.869,-999,-999,2,1780.7,1545.6,2,2,0.51,0.52,0.05,0.05,0,0,0.25,0.25,8.98,9.13,2
CAB1019,7/14/14,21:42:55,7/14/14,14:42:55,-122.3685,47.8805,5,10,2.595,17.723,2,23.7,2,16.704,368,11.575,2,404.4,13.157,-999,-999,3,1743,1490.4,2,2,0.29,0.3,0.03,0.03,0,0,0.19,0.19,6.84,6.95,2
CAB1019,7/14/14,22:56:04,7/14/14,15:56:04,-122.3013,48.0147,1,1,98.611,9.521,2,29.681,2,22.878,165.4,5.098,2,188.5,6.169,-999,-999,2,2057.3,2036.8,2,2,25.14,25.65,0.07,0.07,0,0,2.51,2.56,61.73,62.97,2
CAB1019,7/14/14,22:57:39,7/14/14,15:57:39,-122.3013,48.0147,1,2,82.156,9.739,2,29.599,2,22.78,186.4,5.777,2,199,6.514,-999,-999,2,2060.5,2022.7,2,2,24.82,25.32,0.07,0.07,0,0,2.42,2.47,57.64,58.8,2
CAB1019,7/14/14,22:59:40,7/14/14,15:59:40,-122.3013,48.0147,1,3,52.216,9.382,2,29.285,2,22.59,196.3,6.094,2,191.3,6.258,-999,-999,2,2033.8,2010.5,2,2,25.62,26.13,0.06,0.06,0,0,2.43,2.48,56.49,57.61,2
CAB1019,7/14/14,23:01:32,7/14/14,16:01:32,-122.3013,48.0147,1,4,32.041,10.154,2,29.089,2,22.316,214.2,6.672,2,-999,-999,-999,-999,9,-999,-999,9,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
CAB1019,7/14/14,23:01:49,7/14/14,16:01:49,-122.3013,48.0147,1,5,32.044,10.149,2,29.089,2,22.317,213.7,6.654,2,210.4,6.883,-999,-999,2,2023.2,1972.3,2,2,22.76,23.21,0.15,0.15,0,0,2.17,2.21,47.1,48.03,2
CAB1019,7/14/14,23:03:42,7/14/14,16:03:42,-122.3013,48.0147,1,6,22.029,10.745,2,29.06,2,22.197,225.7,7.041,2,226.3,7.403,-999,-999,2,2025.9,1949.1,2,2,19.69,20.08,0.27,0.27,0.89,0.91,1.97,2.01,41.38,42.2,2
CAB1019,7/14/14,23:05:17,7/14/14,16:05:17,-122.3013,48.0147,1,7,12.064,11.728,2,28.774,2,21.808,255.2,7.993,2,257.6,8.423,-999,-999,2,2012,1904.6,2,2,15.35,15.65,0.26,0.27,1.17,1.19,1.6,1.63,33.93,34.6,2
CAB1019,7/14/14,23:06:26,7/14/14,16:06:26,-122.3013,48.0147,1,8,7.005,12.562,2,28.169,2,21.189,313.7,9.874,2,320,10.455,-999,-999,2,1931.8,1755.4,2,2,3.8,3.87,0.14,0.14,0.13,0.13,0.72,0.74,19.88,20.25,2
