x	MP_1804_P12_Ob	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObA	MP_1804_P4_ObB	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_VeA	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_VeA	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_ObB	MP_1807_P402_Ob	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_Ve	MP_1807_P8_ObB	MP_1807_P8_Ob	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P22_Ve	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P38_Ve	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P4_Ve	MP_1809_P8_Ob	MP_1809_P8_Ve	MP_1904_P12_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_ObA	MP_1904_P38_ObB	MP_1904_P38_Ob	MP_1904_P38_VeA	MP_1904_P38_VeB	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ob	MP_1904_P4_Ve	MP_1904_P8_Ob	MP_1904_P8_Ve	MP_1907_P12_ObA	MP_1907_P12_ObB	MP_1907_P12_VeA	MP_1907_P12_Ve	MP_1907_P22_ObA	MP_1907_P22_ObB	MP_1907_P22_VeA	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_VeA	MP_1907_P28_Ve	MP_1907_P38_ObA	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObB	MP_1907_P402_Ve	MP_1907_P4_ObB	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_VeA	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_CA042_2B	MP_1909_CA042_3B	MP_1909_P12_ObA	MP_1909_P12_ObB	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObA	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeA	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_ObB	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_Ve	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_Ob	MP_1909_P8_VeA	MP_1909_P8_Ve	MP_2007_P12_ObB	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObB	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P4_VeB	MP_2007_P8_ObB	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObB	MP_2009_P28_VeA	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObB	MP_2010_P105_VeB	MP_2010_P123_ObB	MP_2010_P123_VeA	MP_2010_P123_VeB	MP_2010_P132_ObB	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P381_VeB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control1	MP_Control2
ASV_11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	19	26144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	46	43091	14	130	169	0	0	4	3	0	0	0	707	573	0	2	0	0
ASV_12	0	0	257	587	71	1033	2153	877	173	1093	0	0	492	530	519	1894	1005	19	127	187	0	0	0	793	260	313	100	119	0	0	0	0	0	0	0	1029	685	0	128	0	1932	260	155	88	0	108	0	0	205	0	0	0	0	20	217	424	92	1206	83	214	473	258	167	653	0	0	125	159	396	520	0	73	0	35	1115	1184	2954	1402	225	213	100	0	109	66	100	0	0	133	0	477	196	1441	282	498	1261	292	1246	547	172	309	167	1160	1073	1049	2556	1643	114	135	201	515	0	1233	397	241	95	114	361	0	870	0	752	660	412	31	0	936	3074	430	1484	46	40	0	0	58	0	858	689	349	57	82	857	719	0	0	110	0	0	0	0	184	0	0	123	1229	501	962	2590	742	263	336	167	179	117	229	0	0	0	988	1858	285	135	0	0
ASV_13	0	0	0	107	0	0	18	0	0	0	0	0	88	0	0	0	0	14	0	0	0	3	0	0	2	3	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	28	0	2	242	314	0	3882	2042	0	0	0	0	0	0	0	936	0	19	0	26355	5	4633	0	12	652	0	11	0	6	0	2	0	6	1	439	2	6190	0	0	0	0	0	0	0	0	0	904	72	5	2267	88	10	14	0	15	11	51	0	0	0	0	0	0	34	0	7	743	3	0	0	0	388	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1168	2	0	2	2	8	0	0	0	0	3	3	2	10	4	0	0
ASV_14	4	12	0	0	3	37	21	109	62	12	8	0	7	0	0	0	3	0	1	7	2	53	16	113	72	219	355	175	14	45	6	2	15	6	1	405	33	0	0	22	45	54	50	97	28	1	8	4	3	0	9	3	38	116	4	0	0	59	55	101	45	20	6	22	784	68	30	49	311	129	62	4	8	0	29	6	36	32	146	89	196	23	2	37	10	24	3	19	4	308	53	484	174	2	9	0	5	0	1	3	0	4	3	6	4	17	30	12	235	991	642	38	2	11	13	4	40	0	6	3	166	49	326	5	1	120	170	603	1118	78	203	126	224	46	30	1856	3002	26	4	0	47	700	1236	9	229	1004	176	15	2	56	29	209	188	0	4	21	0	6	2	11	26	94	5223	3910	7	28	213	2	3	7201	6968	2	0
ASV_15	0	0	0	0	0	0	0	8	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	155	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	1380	0	0	0	0	1	0	0	0	0	0	0	0	0	4	9	0	6	11	37	6	5	2	2	0	0	0	0	2	2	0	0	0	0	47	8	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	3	13	0	0	0	0	0	0	77	274	367	40	298	0	0	0	0	0	0	0	0	0	0	0	0	38	0	32	1	5	0	0	14	160	5	3	28	17	0	0	0	0	11	11	0	0	0	753	997	0	0	0	0	0	0	0	0	0	2	1	0	1	1983	171	278	32	1586	7069	5991	4489	7069	0	0	0	1	0	1452	1270	0	0
ASV_16	242	535	264	31	242	656	114	425	91	65	0	139	25	13	69	13	28	0	0	0	296	36	1001	4	41	33	64	129	1061	123	155	250	168	252	239	2	3	294	1523	1069	40	6	108	27	1	1400	112	26	742	502	824	434	267	563	5	11	4	425	0	0	17	6	5	96	0	51	47	172	1	11	170	1004	1140	1054	12	40	28	41	87	41	90	11	25	14	59	273	243	68	665	106	36	23	11	0	0	0	2231	733	679	647	1383	7	13	5	4	6	49	92	31	120	167	20	9	119	3	9	10	93	127	210	5	0	2	415	677	51	36	139	113	2	10	8	2	44	35	3	0	771	53	1510	66	6	22	3	0	0	0	0	53	679	1035	0	0	506	567	223	73	620	93	408	0	32	0	14	4	7	3	106	152	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	455	0	0	0	0	0	1	0	0	1	0	118	1456	0	0	0	0	0	0	0	0	0	0	0	0	1	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12697	15938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	170	0	0	0	0	0	0	0	376	311	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
ASV_18	0	0	421	1080	101	419	1539	488	6	69	2	0	11	2	75	459	162	74	166	223	9	4	0	34	7	7	38	39	4	62	0	3	0	0	0	3	1	0	96	16	203	0	0	0	0	74	0	0	167	5	47	0	0	0	306	642	168	817	54	101	177	99	66	37	0	2	7	4	58	145	6	0	3	0	453	265	1510	357	126	70	46	13	70	47	60	0	0	0	0	127	71	945	2	236	939	25	998	409	146	251	124	197	79	33	187	371	4	0	110	348	0	1019	272	159	80	56	266	0	181	0	8	309	62	0	1	860	2606	307	902	0	4	5	3	0	0	314	258	183	78	65	6	0	5	0	6	10	0	10	5	119	7	0	3	1176	680	803	1373	492	16	139	27	28	9	11	7	9	8	1047	1968	5	1	0	0
ASV_19	16	0	510	123	655	597	58	149	14	44	0	0	6	0	11	327	612	292	1	190	0	0	0	442	3	0	0	0	0	0	0	0	0	0	0	29	15	1	0	0	679	1	0	0	0	0	0	0	1	2	1	0	0	1	2446	3485	615	47	55	68	41	20	6	23	0	2	10	25	862	913	0	0	0	0	89	335	32	248	0	0	0	2	2	2	0	0	0	7	0	31	5	33	7	1	4	10	0	2	0	0	0	181	838	647	1421	2915	3	0	0	0	1	0	0	0	0	0	0	0	345	0	18	4	9	0	0	498	511	2	20	0	0	0	4	2	1	22	39	0	0	0	72	751	0	0	0	0	0	0	0	0	6	0	0	140	160	225	905	1722	1217	1738	1023	2587	177	364	0	0	0	42	430	54	23	0	0
ASV_20	219	418	6	0	24	534	105	274	63	107	0	76	22	39	40	8	47	0	0	0	393	29	816	18	40	55	72	116	882	170	322	382	207	413	334	5	6	297	1295	503	70	4	137	18	0	1050	152	4	953	656	975	484	329	450	0	0	0	315	0	4	28	6	14	72	0	52	56	162	0	23	148	1038	1070	863	3	90	57	56	123	26	155	19	56	20	103	335	217	117	613	114	40	17	18	0	0	0	2115	702	530	587	943	12	24	20	0	0	77	122	68	129	189	29	15	154	7	4	13	138	122	183	15	0	5	391	477	24	0	163	133	7	3	6	3	72	21	7	0	978	56	1383	144	11	38	0	0	0	10	0	66	724	934	0	0	158	65	77	25	172	45	143	6	27	0	8	13	8	4	17	35	0	0	3	0
