x	MP_1804_P12_Ob	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObA	MP_1804_P4_ObB	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_VeA	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_VeA	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_ObB	MP_1807_P402_Ob	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_Ve	MP_1807_P8_ObB	MP_1807_P8_Ob	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P22_Ve	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P38_Ve	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P4_Ve	MP_1809_P8_Ob	MP_1809_P8_Ve	MP_1904_P12_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_ObA	MP_1904_P38_ObB	MP_1904_P38_Ob	MP_1904_P38_VeA	MP_1904_P38_VeB	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ob	MP_1904_P4_Ve	MP_1904_P8_Ob	MP_1904_P8_Ve	MP_1907_P12_ObA	MP_1907_P12_ObB	MP_1907_P12_VeA	MP_1907_P12_Ve	MP_1907_P22_ObA	MP_1907_P22_ObB	MP_1907_P22_VeA	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_VeA	MP_1907_P28_Ve	MP_1907_P38_ObA	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObB	MP_1907_P402_Ve	MP_1907_P4_ObB	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_VeA	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_CA042_2B	MP_1909_CA042_3B	MP_1909_P12_ObA	MP_1909_P12_ObB	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObA	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeA	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_ObB	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_Ve	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_Ob	MP_1909_P8_VeA	MP_1909_P8_Ve	MP_2007_P12_ObB	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObB	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P4_VeB	MP_2007_P8_ObB	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObB	MP_2009_P28_VeA	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObB	MP_2010_P105_VeB	MP_2010_P123_ObB	MP_2010_P123_VeA	MP_2010_P123_VeB	MP_2010_P132_ObB	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P381_VeB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control1	MP_Control2
ASV_373	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	4	11	24	0	0	0	0	0	20	6	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	27	12	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_374	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	26	0	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	22	33	0	4	0	3	0	0	0	0	0	2	0	2	0	0	18	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0
ASV_375	0	0	50	63	8	4	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_376	0	0	28	61	29	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_377	0	0	0	0	0	3	7	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	2	4	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	15	14	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	10	0	0	0	6	0	0	0	2	0	0	0	0	0	8	2	30	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	2	0	0	0
ASV_378	0	0	0	0	0	11	18	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	20	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	2	0	0	0	1	1	0	0	10	0	0	0	3	2	1	1	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	22	8	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	16	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0
ASV_379	0	0	0	0	0	7	2	3	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	4	43	33	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	4	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	5	0	0	0
ASV_380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_382	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	29	10	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	3	0	0	0	1	54	31	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_384	0	0	0	0	0	4	12	10	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	2	0	6	4	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	10	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	7	0	0	0	24	0	2	0	0	0	0	0	0	0	4	6	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_386	97	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	75	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_387	0	0	5	41	25	0	0	24	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	6	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_388	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	3	4	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	16	0	0	0	1	0	0	0	0	0	2	3	11	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	6	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	9	3	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	2	0	0	3	0	0	0	1	1	0	3	2	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0
ASV_389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_392	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	17	0	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	10	0	0	0	4	0	2	0	0	0	0	0	8	0	0	0	0	0
ASV_393	0	0	18	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0
ASV_394	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	8	4	0	0	0	0	0	0	0	0	0	15	15	8	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	51	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_397	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	64	0	0	0
ASV_398	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	9	0	0	36	29	0	0	0	0	0	0	0	0	0
ASV_399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	28	18	0	0	0	0	0	0	0	9	0	0	0	14	0	3	0	0	92	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_402	0	4	0	0	0	4	0	8	8	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	2	0	7	0	0	0	4	0	0	2	0	0	0	0	15	2	6	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_403	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	42	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	4	3	0	0	0	0	0	4	0	0	0
ASV_404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_405	14	0	0	0	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	7	0	0	0	2	3	1	0	0	1	0	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	7	0	0	0	1	0	2	7	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	5	7	7	4	0	0	0	0	8	0	0	0	3	0	1	5	0	22	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
