x	MP_1804_P12_Ve	MP_1804_P12_Ob	MP_1804_P8_Ob	MP_1807_P12_Ob	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P22_Ob	MP_1807_P28_Ve	MP_1807_P28_Ob	MP_1807_P38_Ve	MP_1807_P4_Ob	MP_1807_P4_Ve	MP_1804_P22_Ve	MP_1807_P402_Ve	MP_1807_P402_Ob	MP_1807_P8_Ve	MP_1807_P8_Ob	MP_1809_P12_Ve	MP_1809_P12_Ob	MP_1809_P22_Ve	MP_1809_P22_Ob	MP_1809_P28_Ve	MP_1809_P28_Ob	MP_1809_P38_Ve	MP_1809_P38_Ob	MP_1809_P4_Ve	MP_1804_P22_Ob	MP_1809_P4_Ob	MP_1809_P402_Ve	MP_1809_P402_Ob	MP_1809_P8_Ve	MP_1809_P8_Ob	MP_1904_P12_Ve	MP_1904_P12_Ob	MP_1904_P22_Ve	MP_1904_P22_Ob	MP_1804_P28_Ve	MP_1904_P28_Ve	MP_1904_P28_Ob	MP_1904_P38_Ve	MP_1904_P38_Ob	MP_1904_P4_Ve	MP_1904_P4_Ob	MP_1904_P402_Ve	MP_1904_P402_Ob	MP_1904_P8_Ve	MP_1904_P8_Ob	MP_1804_P28_Ob	MP_1907_P12_Ve	MP_1907_P22_Ve	MP_1907_P22_Ob	MP_1907_P28_Ve	MP_1907_P28_Ob	MP_1907_P38_Ve	MP_1907_P38_Ob	MP_1804_P38_Ve	MP_1907_P4_Ve	MP_1907_P4_Ob	MP_1907_P402_Ve	MP_1907_P402_Ob	MP_1907_P8_Ve	MP_1907_P8_Ob	MP_1909_P12_Ve	MP_1909_P12_Ob	MP_1909_P22_Ve	MP_1909_P22_Ob	MP_1909_P28_Ve	MP_1909_P28_Ob	MP_1909_P38_Ve	MP_1909_P38_Ob	MP_1909_P4_Ve	MP_1804_P38_Ob	MP_1909_P4_Ob	MP_1909_P402_Ve	MP_1909_P402_Ob	MP_1909_P8_Ve	MP_1909_P8_Ob	MP_2007_P12_Ve	MP_2007_P12_Ob	MP_2007_P22_Ve	MP_2007_P28_Ve	MP_2007_P28_Ob	MP_2007_P38_Ve	MP_1804_P4_Ve	MP_2007_P38_Ob	MP_2007_P4_Ve	MP_2007_P4_Ob	MP_2007_P402_Ve	MP_2007_P402_Ob	MP_2007_P8_Ve	MP_2007_P8_Ob	MP_2010_P105_Ve	MP_2010_P105_Ob	MP_2010_P123_Ve	MP_1804_P4_Ob	MP_2010_P123_Ob	MP_2010_P132_Ve	MP_2010_P132_Ob	MP_2010_P136_Ve	MP_2010_P136_Ob	MP_2010_P22_Ve	MP_2010_P22_Ob	MP_2010_P28_Ve	MP_2010_P28_Ob	MP_2010_P381_Ve	MP_1804_P402_Ve	MP_2010_P381_Ob	MP_2010_P7_Ve	MP_2010_P7_Ob	MP_2009_P12_Ve	MP_2009_P12_Ob	MP_2009_P22_Ve	MP_2009_P22_Ob	MP_2009_P28_Ve	MP_2009_P28_Ob	MP_2009_P38_Ve	MP_2009_P38_Ob	MP_2009_P4_Ve	MP_2009_P4_Ob	MP_2009_P402_Ve	MP_2009_P402_Ob	MP_2009_P8_Ve	MP_1804_P402_Ob	MP_2009_P8_Ob	MP_1804_P8_Ve
ASV_127	0	1.449094583	35.324107617	0	0	0	0	0	0	0	1.082390208	0	11.919966059	0	0	0.274089253	0	0	0	0.15656191	0	0.059096416	0	0	0	0	1.254153447	0	0	0	0.188872698	0	1.177388282	8.499167216	11.028472641	27.672172344	10.79622107	5.413422459	57.59772698	11.051163814	3.126712745	0	1.10739074	0	0.034384346	7.931278845	8.005622845	1.670355253	0	0.179247621	0	0.205713714	1.345041171	0.627507781	0.544246372	7.481466818	0.045612115	0.333894914	0	0	1.021214459	0.042243768	0	0	0	0	0	0	0.453563456	0.065617571	0	13.31472215	0	0	0	0.019045987	3.170087495	0.562655765	0	0	0	0	0.036664284	0.710755748	1.341738012	0.156739817	0.338643476	0	4.016388455	0	0	0	0	0	0.187676902	0	1.613578041	0	0	0.137719754	0	0.09003518	0	0	0	0	0	0	0.243438745	0.104114613	0	0	0.115597179	0	0.421044601	0	1.088679289	0	0	0	0.029088745	2.990540203	0	10.379617234	49.218637295
ASV_47	0.407597645	0	27.474305927	2.607727753	0	0.144038267	0.407560425	0	0	0.433745422	0	0	49.382716524	0	0	1.906961397	0	0	0	0.026093652	0	0	0	0	0.758767753	0	22.731531223	0	0	0	0.026981814	0	0.814360229	3.609586077	52.227480789	52.465670092	0	4.968483627	25.507564807	1.25107515	5.043085073	0.060496072	0.138423843	0	0	5.185836169	2.481743082	6.681421012	0	0.215097146	0.684509185	0.5039986	0.259837499	1.255015561	4.134073452	5.441066777	0	0.016421061	0	0	0.313073045	0.106929539	0	0	0	0	0.070668956	0	0	0.164043927	0	0	0	0	0	0.158716562	0.498156606	0.026793132	1.420324821	6.820673959	0.017751743	0	0	0	0.276541423	0.888192296	3.318706072	0	0	0	0.208007423	0	0	0	2.627476628	0	0	0	0	0	0	0	0	0	0	0	0	0.14863258	0.091289529	0	0	0.66273171	0	0	0.701741001	0.044039285	0.05376194	0	0	0	0	0.020343811	0	1.857124319	185.771991593
ASV_129	0	1.924108989	3.924900847	0	0.18509265	0.192051023	0	0	3.076133521	4.857948722	0	0	0	0.107222508	0.133956081	0	0	0	0	4.044516002	0.331192229	0.019698805	1.035326308	0.345578853	1.234262212	0	0	0	0	0	0.359757521	65.115460751	8.094544444	0	0	0	0.359874045	0.37078236	0	3.127687872	1.008617015	0	0	20.689656387	0	3.35554105	0	6.681421012	3.399263405	0.206134764	0.220435161	0.822854858	0.61138235	1.568769452	0.439795048	0	0.045612115	0.016421061	3.639846889	0.043654659	3.279812862	0	0	0	0	1.382672929	0	0	0	0	0	0	0	0.436490643	0.360161816	0.336479111	7.351583858	1.071725265	6.46651951	0	1.088773567	0	8.322792385	0.710755748	0.030726825	0.365726239	0.203186086	0.088078571	3.329374641	0.645291387	0.029715346	0	0	0	0	0	0	0.706131328	0	0	0.126310474	1.790699696	0	0	0	1.334988676	0	0.099088387	0.342335735	0.163608679	0	0.712436588	1.926619651	0	0	0.74866785	1.451572386	0	0	0.083571194	0.997743953	0.284813353	0	0	8.158083679
ASV_48	0.815195289	0.366783276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758767753	0	0	0	0	0	0	0	0.735867677	0.019199926	0	0	1.799370178	0.203930298	0	0	2.01723403	0	0	0	0.309459112	2.440393491	0	0	0	0	0	0.030857058	0.022926838	0	0	0	0	0.875789936	0	0	0.02236236	0.001320118	0	0	0	0	0	0	0	0	0	8.876481433	0	0	0	0	0	0.053586263	0.069284138	0	0	0	0	10.66133622	0	0	0	0	0	0	0.014857673	0	0	0	2.81515353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.133068884
ASV_49	2.037988146	0	0	0	0	0	0	0	0	0	0	0	1.702852294	0	0	0	0.015123711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.799370178	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023203701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_234	0	0	0	0	0	0	0	0	0	0	0	0	6.811409177	0	0	12.24654108	0	0	0.856619761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11330878	0	0.011601851	0	0	0	0	0	0	0	0	0	0	0	0	0	7.940762344	0	0	0	0	0	0.774023794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007575341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024852439	0	21.7556848	0	0	0	0	0	1.002854328	0	0	0	0	0
ASV_641	0	0	0.470988102	0	0.06169755	0.662576029	0.303771746	0	0	0.433745422	7.39633309	52.57207775	0	1.286670099	3.188154731	1.632872145	0.215092778	0	0	0.913277807	1.957383283	0	0	3.606040204	2.245952548	4.16100214	0	0.046133176	3.670095048	7.415147444	0.053963628	0.136845101	2.943470707	0	0.450755013	0.614937163	0	0	0	0	0	1.270417517	5.066312637	12.26053712	4.607502334	0.305049186	0.600421713	0	0	0.286796194	3.279456437	0	0	9.412616708	0	0	9.35048358	5.172634312	18.29501989	13.14005231	0.067087081	0.001320118	0	0	0	0.297704708	0	0	0	0	0.774023794	0	1.755116333	4.655900188	1.276937346	0	3.109704877	0	0	0.225132278	0	0	2.102085595	9.950580468	4.537327783	8.98641617	10.20445677	8.543621352	14.50656093	0	0.148576731	0	0	0	0.598220125	0	0.159365732	0	0.510383122	0	2.652519955	0.240093814	0	0	0	0.266997745	0	0.123860483	0.205401441	0	0.357680631	8.251009787	2.86584673	0.725189493	0	1.218420227	7.329544515	20.11494253	0.737188953	8.022834627	4.540753094	18.87905652	0.210879605	0.272164771	0.270135221
ASV_134	0	0.481027247	0.294367564	0	0	0.384102046	0.202514497	0	0	0	0	0	3.405704588	0	0	0	0	0	0	4.17498426	4.934392078	0	0	0	0	0	0.627076723	0	0	0	0	0	0	0	6.761325188	0.184481149	0	0	0	0	0	0	0.110739074	0	0	0.305049186	0.120084343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158716562	0.271721785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194186116	0.680510829	1.536436006	1.768346637	0.660257989	0	9.048393315	0	0	0	2.246003433	1.612781686	0	0	4.771668311	0.751381664	0	0	0	0.05376194	0	0	0	0	1.302003898	0	1.280775391	0
ASV_45	2.037988146	4.527668967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.413645979	5.70877798	0	0	0	0	0	0	0	0	0	1.53256714	0	0	0	0	0.679852681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266997745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337407369	0	0
ASV_6583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159365732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
