x	MP_1804_P12_Ob	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObA	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObA	MP_1804_P4_ObB	MP_1804_P4_VeA	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_VeA	MP_1807_P12_Ve	MP_1807_P22_ObB	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_VeA	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_ObB	MP_1807_P402_Ob	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_VeA	MP_1807_P4_Ve	MP_1807_P8_ObB	MP_1807_P8_Ob	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P22_Ve	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P38_Ve	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P4_Ve	MP_1809_P8_Ob	MP_1809_P8_Ve	MP_1904_P12_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_VeA	MP_1904_P22_VeB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_ObA	MP_1904_P38_ObB	MP_1904_P38_Ob	MP_1904_P38_VeA	MP_1904_P38_VeB	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ob	MP_1904_P4_Ve	MP_1904_P8_Ob	MP_1904_P8_Ve	MP_1907_P12_ObA	MP_1907_P12_ObB	MP_1907_P12_VeA	MP_1907_P12_Ve	MP_1907_P22_ObA	MP_1907_P22_ObB	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_Ve	MP_1907_P38_ObA	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObA	MP_1907_P402_ObB	MP_1907_P402_VeA	MP_1907_P402_Ve	MP_1907_P4_ObB	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_VeA	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_CA042_2B	MP_1909_CA042_3B	MP_1909_P12_ObA	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObA	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeA	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_Ve	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_ObA	MP_1909_P8_Ob	MP_1909_P8_VeA	MP_1909_P8_Ve	MP_2007_P12_ObB	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObB	MP_2007_P38_VeA	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P4_VeB	MP_2007_P8_ObB	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObB	MP_2009_P28_VeA	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObB	MP_2010_P105_VeB	MP_2010_P123_ObB	MP_2010_P123_VeA	MP_2010_P123_VeB	MP_2010_P132_ObB	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control1
ASV_12	405	1781	411	255	909	3254	1414	423	1244	395	153	5	595	268	107	353	255	28	120	0	0	0	621	1803	1963	40	18	28	32	55	324	1617	88	61	236	218	245	298	248	7	4	243	5175	4051	111	0	59	11	7	8926	20	27	1697	625	1041	602	71	1730	47	87	235	141	55	426	63	25	94	95	86	254	0	164	43	302	33	107	1118	1449	3301	4874	98	44	99	78	45	13	40	11	118	822	209	81	185	59	372	54	75	17	21	0	0	0	5436	727	1106	4527	7	65	68	10	19	29	58	51	125	145	183	35	0	6	18	541	329	285	8	20	2	9	219	562	114	47	135	69	53	5	38	17	3	20	31	23	0	5	3350	1987	76	17	22	4	2	0	3	0	23	1643	1672	0	0	372	322	128	755	229	130	674	37	121	10	48	23	11	2	124	0	0	3
ASV_13	323	170	427	1097	41	445	222	349	273	190	545	466	88	341	88	770	161	642	279	43	13	34	849	680	421	150	122	485	550	306	773	246	977	794	860	937	546	1580	778	232	598	655	109	83	300	676	968	181	156	101	333	21	881	385	543	455	64	52	736	623	1291	1767	295	228	465	200	117	1197	862	369	18	32	519	549	83	71	286	156	184	121	301	190	390	1107	775	1374	1763	102	1353	174	192	31	53	333	250	484	1105	316	602	200	1048	371	807	53	229	124	138	465	383	292	205	1591	2353	675	1661	1912	3515	1245	813	736	1172	1365	575	540	334	1347	736	333	114	86	205	190	195	289	182	172	228	53	6	10	36	10	0	103	903	221	170	45	1256	1074	973	433	600	42	152	359	115	472	688	443	144	103	183	70	12	34	13	20	10	19	1200	1711	652	246	66	37	0
ASV_14	0	0	1976	1906	149	402	1320	695	266	90	1399	0	0	580	106	936	280	1829	675	323	49	161	0	11	11	99	973	310	461	207	199	13	78	0	0	15	11	29	25	705	594	21	7	0	1710	190	175	50	0	7	0	0	9	15	18	44	6	17	3969	3568	5014	3471	1135	414	336	430	175	2527	1962	873	0	0	73	154	411	521	82	38	27	22	2981	1890	1672	96	129	25	16	0	24	0	0	4	8	64	51	235	342	201	256	90	54	265	19	0	8	7	1473	2019	3338	3812	2565	187	213	191	438	95	126	0	0	11	27	14	1082	29	28	1288	805	395	10	32	1311	831	32	248	253	35	51	24	0	5	0	0	250	305	14	0	432	358	133	111	271	0	13	0	0	29	60	32	113	1369	622	652	121	761	221	458	131	285	30	152	31	63	142	1482	120	58	0
ASV_15	9	47	5	2	3	5	11	7	8	285	300	54	73	85	23	69	95	14	8	6	0	3	20	778	490	3	384	189	374	486	881	321	1350	86	65	1347	145	274	364	436	682	281	0	193	33	466	82	1111	298	67	33	147	15	164	204	128	5	7	3	6	46	15	9	13	205	232	138	411	327	142	19	38	277	401	2	1	104	76	217	72	122	82	153	311	707	909	686	39	1113	0	87	53	404	186	252	302	511	329	545	647	554	534	48	5	159	87	29	99	396	196	296	248	243	1422	3280	749	1460	92	665	610	1358	272	655	985	7	714	1441	962	472	416	49	154	45	631	424	892	656	430	24	115	14	33	108	324	23	136	73	120	747	291	1112	1173	1135	4	27	74	79	284	684	27	361	80	16	134	11	54	5	30	6	42	213	310	413	64	82	123	0
ASV_16	344	106	345	216	97	0	69	167	316	162	450	163	14	704	187	179	111	642	199	41	5	20	150	99	44	0	32	132	192	0	0	318	996	613	567	219	452	816	414	328	635	351	29	70	167	250	112	22	271	59	1040	12	884	965	1014	971	560	105	232	150	326	308	310	604	132	126	130	676	702	428	25	67	784	360	33	58	322	354	303	212	219	75	172	214	70	1064	576	0	507	0	278	15	79	382	373	259	452	218	617	379	884	860	1170	18	241	100	48	167	33	0	35	203	185	0	0	0	1732	3245	124	167	2623	395	142	476	0	528	209	140	276	164	340	42	14	201	22	82	111	14	18	3	146	11	110	63	295	394	157	60	178	0	96	231	181	39	123	214	35	318	263	157	58	158	0	23	5	20	10	5	19	25	0	0	48	524	48	33	0
ASV_17	9	5	1247	1330	35	20	758	760	151	38	889	9	0	282	27	34	72	1275	272	97	18	44	23	22	23	4	445	270	310	459	397	13	202	10	0	31	18	41	62	494	447	41	0	11	1024	182	135	71	0	13	20	0	0	44	39	59	6	8	1803	1138	868	1259	566	351	37	154	70	1838	1586	532	0	7	94	134	119	172	32	26	29	15	1499	1139	882	93	327	66	0	0	24	0	6	0	8	78	101	160	241	97	159	43	53	151	45	0	25	12	974	979	1304	1356	900	194	204	415	1103	226	319	0	20	13	38	39	581	89	3	968	547	239	17	21	818	201	4	219	305	17	5	10	0	2	5	2	174	146	20	7	284	123	258	241	708	0	14	0	3	12	99	22	78	828	371	392	5	352	29	127	22	41	7	40	83	93	352	756	32	16	0
ASV_18	127	500	396	263	188	308	757	276	363	112	144	1	135	45	25	46	66	24	45	0	0	0	532	933	1373	5	15	44	66	65	165	898	113	138	251	183	259	195	189	2	8	174	1945	966	74	2	65	7	3	2867	25	11	981	514	641	452	76	291	36	42	95	89	30	268	11	12	22	89	92	98	0	41	33	132	8	24	458	851	1675	1722	99	44	95	83	66	13	58	5	112	5	197	20	150	76	362	56	86	19	36	0	0	0	3051	60	615	1515	6	41	34	8	22	94	82	80	126	157	201	83	8	15	12	470	163	216	1	25	9	11	250	422	96	31	15	124	42	16	14	12	5	0	32	7	0	2	1729	1238	70	15	67	4	8	1	9	0	40	1217	759	0	0	424	263	117	51	177	39	260	9	33	2	24	26	9	6	109	0	0	0
ASV_19	3	15	2	0	2	1	7	8	4	38	205	24	13	43	10	2	25	14	3	2	0	1	30	190	352	0	157	226	325	407	402	209	1394	96	92	1282	149	74	272	302	765	193	1	55	20	562	140	748	182	29	42	13	12	155	124	87	1	3	2	4	11	6	2	8	21	72	41	366	309	90	4	5	322	202	0	1	36	58	159	43	74	58	76	306	574	1040	432	3	792	0	85	3	197	182	227	201	393	138	416	409	572	378	42	0	57	59	37	69	165	90	130	335	284	1262	3003	454	1509	73	711	843	1023	242	340	713	0	566	1294	566	305	203	39	39	4	403	338	492	48	74	0	3	12	3	80	161	8	105	43	35	616	250	746	931	886	1	29	51	46	356	584	16	209	35	2	46	1	12	0	2	2	7	206	114	386	29	37	15	1
ASV_20	515	53	4	85	7	1	18	182	168	51	483	45	3	2178	545	100	142	261	115	43	14	8	96	2	23	0	6	60	76	4	8	29	716	25	22	32	129	14	100	139	88	114	81	126	23	26	27	15	210	92	0	0	829	685	1319	1093	998	204	216	115	177	120	196	726	7	15	46	428	620	453	4	31	648	286	82	114	507	952	609	499	41	8	9	20	11	640	309	0	333	0	0	0	3	46	231	201	288	89	186	20	22	4	2312	4	156	217	15	25	3	0	0	41	39	6	16	7	1365	2694	76	71	3315	38	12	5	1	57	63	114	601	488	15	8	12	229	24	50	39	6	0	1	6	0	65	86	213	765	8	4	103	10	66	165	114	3	6	96	14	34	76	220	77	466	0	89	17	52	14	8	10	8	0	11	41	551	41	32	0
ASV_21	92	291	560	545	70	79	588	355	221	18	193	2	19	60	14	11	30	37	42	0	1	0	1045	450	1026	0	8	107	179	119	167	568	226	517	780	266	373	115	291	5	18	239	937	276	127	7	264	9	6	975	118	0	619	677	518	434	50	104	40	46	51	63	25	301	2	6	15	174	218	112	2	15	59	100	2	21	227	635	1269	695	101	102	79	269	184	50	80	5	133	3	223	5	81	89	498	67	131	22	37	0	0	0	2867	26	517	574	20	38	39	10	18	344	226	142	311	185	439	97	16	40	29	654	174	330	0	41	10	15	213	230	98	18	6	165	87	5	3	6	1	1	27	3	17	0	1099	829	90	6	111	8	12	5	15	0	34	1000	446	2	0	598	260	99	7	153	11	105	4	6	0	5	34	4	9	147	1	0	1
