x	MP_1804_P12_Ob	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObB	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_Ve	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P8_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_Ob	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ve	MP_1904_P8_Ve	MP_1907_P12_ObB	MP_1907_P12_Ve	MP_1907_P22_ObB	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_VeA	MP_1907_P28_Ve	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObB	MP_1907_P402_Ve	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_P12_ObA	MP_1909_P12_ObB	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_ObB	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_Ve	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_Ob	MP_1909_P8_VeB	MP_1909_P8_Ve	MP_2007_P12_ObB	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObB	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P8_ObB	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObB	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObB	MP_2010_P105_VeB	MP_2010_P123_ObB	MP_2010_P123_VeB	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P381_VeB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control1	MP_Control2
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	4	196	0	0	0	0	0	0	11	8275	0	0	0	9	0	1161	0	0	0	0	7	0	0	0	0	0	1705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	26720	0	0	0	0	42546	0	0	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0	0	0	754	0	82	0	255	20	0	0	0	49	0	0	0	0	5187	1188	0	0	0	66	126	11	1354	2334	10	0	2549	365	1474	76	11	0	56	0	0	0	7	15	872	369	1825	57	0	0	0	0	0	0	0	0	0
ASV_12	0	0	5671	1628	306	595	1010	412	0	0	0	0	0	0	240	0	1245	5126	8821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	757	683	4706	5810	2566	0	0	0	0	2550	0	0	6825	1508	0	855	0	0	0	0	0	0	0	0	21	0	0	202	16	54	282	24	0	0	0	2	4	0	0	0	855	47	0	0	0	0	0	0	0	0	474	0	0	0	4080	4791	245	102	0	0	0	0	0	0	83	0	102	29	0	0	0	0	0	0	0	0	154	0	0	0	2467	3423	1410	3964	209	92	0	0	0	0	0	12595	11143	0	0	0	0
ASV_13	0	0	0	0	0	0	0	0	27	20	0	0	17101	5925	0	0	2735	9182	3266	0	0	853	0	11	0	0	0	0	268	662	12	0	0	0	0	0	0	0	0	483	202	0	209	48	0	0	724	0	1	0	644	1336	0	0	0	14	0	0	0	18	0	0	0	0	246	0	0	0	17907	0	0	0	0	0	10601	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	23	0	0	3	25	36	20	0	0	0	0	0	38	52	208	0	0	0	457	19	0	0	166	0	0	0	44	9923	27	14	0	0	2	0	520	183	510	0	75	0	0	0	0	8219	269	0	0
ASV_14	1712	426	0	0	0	533	21	445	463	896	117	176	140	225	1424	626	2	0	11	429	395	474	1373	976	406	664	1222	1376	166	1340	598	123	95	694	741	626	350	430	285	215	80	706	0	0	0	0	568	1261	0	0	0	0	373	49	269	1409	930	908	1078	798	1064	930	622	183	0	1521	637	1051	76	134	153	13	26	179	539	906	357	646	742	912	2719	1205	1522	783	936	806	832	475	1919	294	1008	1334	1560	1414	718	435	46	0	590	66	689	291	0	43	151	1815	1259	90	19	341	3238	1863	1353	648	2048	1758	762	273	0	46	2083	2230	108	27	233	137	374	130	380	3146	150	104	1199	0	159	0	979	0	0
ASV_15	47	735	10	0	3	202	0	353	145	1101	127	39	127	69	993	81	0	1	3	153	255	438	2106	1743	372	678	1277	1377	673	1003	1562	235	121	579	860	818	545	843	184	131	48	46	0	0	0	171	204	679	0	0	0	45	332	150	103	492	741	397	800	1078	674	1351	790	145	0	69	1103	1715	53	12	185	19	1	187	228	364	240	1040	1296	856	1913	1430	360	1103	1132	990	1155	1289	2620	479	147	1341	1181	892	570	522	3	0	774	45	1186	707	93	0	76	686	994	40	0	125	1692	1293	1511	510	1276	1435	85	959	347	0	1192	1401	18	16	74	91	157	66	77	69	153	56	884	58	11	125	151	0	0
ASV_16	0	0	0	0	14	0	0	0	0	0	112	933	2516	21181	0	0	18	189	25	0	0	45	0	0	0	0	0	0	2344	483	21	0	0	0	0	0	0	0	0	14	168	0	0	0	0	0	3616	288	531	367	2646	3	0	0	0	0	0	0	0	0	116	0	0	0	757	0	0	0	47	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	26	44	30	0	0	0	4092	507	5761	0	20	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	166	350	0	6623	0	0	0	0	0	0	0	0	0
ASV_17	0	151	0	2	0	122	0	0	164	989	96	186	265	445	1275	312	0	0	0	0	154	218	926	871	255	224	432	676	0	505	606	43	53	388	183	644	227	306	506	210	41	0	0	0	0	0	188	843	0	0	11	458	207	0	169	635	235	332	822	578	814	601	0	629	621	839	673	781	6	0	0	14	0	29	351	98	380	556	603	452	1125	559	839	484	493	224	367	227	0	482	434	598	851	432	562	190	0	0	462	98	612	424	0	0	0	373	376	52	0	75	1025	4260	881	129	2442	791	0	0	0	0	971	1163	51	26	34	53	195	16	78	512	106	50	409	0	0	0	455	0	0
ASV_18	1103	388	7	0	0	45	0	106	660	488	50	0	315	152	969	480	0	0	0	168	218	421	790	647	227	369	542	628	153	308	891	87	65	325	417	312	217	318	753	288	63	150	0	0	0	35	139	529	0	0	0	0	272	44	168	123	463	506	271	464	467	978	477	0	380	770	134	663	92	82	145	18	8	54	170	662	269	659	640	513	1004	644	738	605	766	547	480	792	74	213	0	604	439	582	356	540	0	0	216	68	735	215	0	0	173	810	497	16	0	135	481	149	1047	211	1051	579	242	156	301	0	1204	834	56	21	184	117	0	42	15	847	992	72	726	10	1	372	157	0	0
ASV_19	0	195	0	0	0	85	0	47	261	611	82	66	114	39	617	738	15	0	0	235	182	149	1079	755	177	414	588	828	0	1210	1061	109	26	361	298	419	269	272	130	385	0	30	0	0	0	359	116	422	0	0	0	0	154	38	355	299	454	478	472	424	868	902	260	143	0	651	321	548	29	55	110	22	32	92	374	706	206	328	337	426	1023	778	777	505	495	442	301	567	525	154	208	333	1008	600	274	443	47	0	448	69	717	255	73	0	140	261	642	52	17	208	78	1242	797	149	350	869	0	118	0	0	897	886	24	15	66	64	0	27	147	423	93	65	568	5	200	140	926	0	0
ASV_20	0	173	0	0	0	0	0	0	0	0	18014	7110	0	0	55	11	0	0	0	69	30	0	0	0	0	7	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	531	1180	0	883	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10174	423	0	0	0	22	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	79	148	0	0	0	0	0	77	66	412	21	50	0	85	814	52	0	0	0	42	46	188	352	389	270	256	467	411	284	315	1064	97	41	163	288	460	270	482	0	123	48	0	0	0	0	0	193	435	0	0	0	26	140	75	36	63	418	198	461	630	328	759	757	105	0	53	322	412	15	5	107	4	1	28	399	129	61	447	580	378	973	411	187	656	301	512	544	236	744	61	0	643	418	445	286	143	10	0	182	23	475	325	0	6	0	381	630	17	6	131	0	502	1205	130	669	845	26	446	121	0	568	587	6	0	19	9	32	28	0	0	0	23	425	0	0	2030	0	0	0
ASV_22	33	591	23	20	81	452	72	411	79	235	0	211	78	104	13	111	0	0	0	1739	758	11	50	42	0	740	55	464	878	188	47	930	781	0	125	11	0	89	3	1062	1050	534	0	0	0	252	178	304	0	0	0	63	772	1123	25	15	151	200	41	9	286	20	281	437	407	72	3	26	0	1746	993	1652	1425	1152	0	49	2	41	33	54	120	23	255	19	0	4	12	0	432	10	248	5	0	0	474	718	0	7	202	138	11	10	28	7	30	0	0	772	348	1737	0	0	0	2	0	0	0	325	300	1409	0	0	0	0	4	11	16	0	0	41	34	0	3	0	0	0	0	0	3
